,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
88,0.23759450912475585,0.05552843005861353,0.014747405052185058,0.003939435078825606,42,0.0003086343171585793,"{'random_state': 42, 'alpha': 0.0003086343171585793}",-0.1115181769219196,-0.09185276699673994,-0.10390052819685641,-0.116887893245422,-0.13992265624544928,-0.09257647395935875,-0.11427237171895872,-0.09132891387477732,-0.09157453862867247,-0.12199397117383703,-0.10758282909619916,0.015514530639482802,1
96,0.23374814987182618,0.05635747328185972,0.014127087593078614,0.003911833595677279,42,0.00030170085042521263,"{'random_state': 42, 'alpha': 0.00030170085042521263}",-0.11164334213633567,-0.09184570029775758,-0.10381038785605799,-0.11691822979764263,-0.1399710675862879,-0.09257088418171411,-0.1142915879433336,-0.09128762488322814,-0.09151080811473554,-0.12199120991774129,-0.10758408427148344,0.015544564635026162,2
14,0.24967648983001708,0.035338383963777226,0.014309024810791016,0.0016977752806847744,42,0.00029575787893946977,"{'random_state': 42, 'alpha': 0.00029575787893946977}",-0.11174329175347075,-0.09184354903754383,-0.10375351849498622,-0.11694828183884301,-0.1400185249631105,-0.09256770322715985,-0.11432533542900283,-0.09125873153502707,-0.0914428148092082,-0.12199156567474403,-0.10758933167630964,0.015572369643858665,3
38,0.31676104068756106,0.0764250646347405,0.015186095237731933,0.005272191501517449,42,0.00029278639319659834,"{'random_state': 42, 'alpha': 0.00029278639319659834}",-0.11179137771738316,-0.09184348920161121,-0.10374993720608663,-0.11696453303671422,-0.14004417047464762,-0.0925669975288375,-0.11434322038831464,-0.0912455042365324,-0.09140917208036492,-0.121996469029249,-0.10759548708997413,0.015586242914059613,4
0,0.24519450664520265,0.0705856624923273,0.012226080894470215,0.002023410084262409,42,0.00033488244122061034,"{'random_state': 42, 'alpha': 0.00033488244122061034}",-0.11115869953533862,-0.09190830435374882,-0.10427247709185204,-0.1167541755769752,-0.13976708866295193,-0.09262662237074447,-0.11421368029081616,-0.09151520589287562,-0.0918087858653611,-0.12203598692190534,-0.10760610265625695,0.015404251954584674,5
60,0.26964221000671384,0.07325465050506848,0.015745663642883302,0.008101127647623196,42,0.00034726363181590797,"{'random_state': 42, 'alpha': 0.00034726363181590797}",-0.11106503196544192,-0.09193255643963703,-0.10446751045329368,-0.11668453272489845,-0.1397022527833327,-0.09265686427609736,-0.11419458953537687,-0.09160215272213383,-0.09192092034996151,-0.1220623216440006,-0.10762887328941739,0.015356015358357225,6
22,0.21202373504638672,0.04174833757707079,0.015225934982299804,0.00335261219295111,42,0.00036954977488744376,"{'random_state': 42, 'alpha': 0.00036954977488744376}",-0.11092467721012042,-0.09192875044005745,-0.10486137012133956,-0.11670665305450899,-0.13959715900273412,-0.09272337373188053,-0.11417088639410151,-0.09178670155322172,-0.09218042642714237,-0.12208489446429878,-0.10769648923994055,0.015273913149563221,7
79,0.2714861869812012,0.07211974326341254,0.014444804191589356,0.0059784708271013055,42,0.0002665382691345673,"{'random_state': 42, 'alpha': 0.0002665382691345673}",-0.1123085995451832,-0.09189909675175077,-0.10377348413281484,-0.11711114610309405,-0.1402961198862849,-0.09265121142103434,-0.11442638612787866,-0.09142056896280211,-0.09116090905232285,-0.1220583546285683,-0.1077105876611734,0.01566472119655717,8
75,0.2563066244125366,0.048843212633081314,0.016083192825317384,0.004809717699839538,42,0.0003759879939969985,"{'random_state': 42, 'alpha': 0.0003759879939969985}",-0.11088479737169767,-0.09192164950190324,-0.1049658002729028,-0.1167170530630883,-0.13957400301858133,-0.09274332715481931,-0.11416372640860475,-0.09184772582336198,-0.09226285234565045,-0.12208300008124663,-0.10771639350418565,0.015250522584758213,9
82,0.239776611328125,0.10759815973262156,0.015360140800476074,0.0077540574758125915,42,0.00037697848924462233,"{'random_state': 42, 'alpha': 0.00037697848924462233}",-0.1108790340759484,-0.09192177979247458,-0.10497459402937344,-0.11671885525838904,-0.13957049763674906,-0.09274673637428717,-0.11416322969703852,-0.09185734971853352,-0.09227522057626054,-0.12208252339792042,-0.10771898205569748,0.01524695016572064,10
49,0.22046420574188233,0.04364352334988939,0.017687654495239256,0.0062276904148327655,42,0.0003834167083541771,"{'random_state': 42, 'alpha': 0.0003834167083541771}",-0.11085166976103186,-0.09193017631043213,-0.10503307146513224,-0.11672969172998415,-0.13954920943938415,-0.09276968683683166,-0.11416505072206647,-0.09191407600828279,-0.09235747572829894,-0.12208017101607166,-0.10773802790175162,0.015224042762921355,11
48,0.3036396265029907,0.09994605119955687,0.015275335311889649,0.0029560046775000885,42,0.00025910955477738873,"{'random_state': 42, 'alpha': 0.00025910955477738873}",-0.11245730306754055,-0.09193530590407531,-0.10379477734980046,-0.11715278878071347,-0.1403798794058064,-0.09267149074182436,-0.11449295452679162,-0.09150686629598118,-0.09109707785223334,-0.12207617463584677,-0.10775646185606133,0.015685201473199517,12
37,0.3661492109298706,0.09884273119269818,0.018059682846069337,0.007554199529696274,42,0.000257623811905953,"{'random_state': 42, 'alpha': 0.000257623811905953}",-0.11248693163930822,-0.0919434556596333,-0.10380011791061734,-0.11716238517034475,-0.14039896391694517,-0.0926752839713482,-0.11451938921330816,-0.09152767272131512,-0.09108209336554449,-0.12208167070537326,-0.10776779642737382,0.01569038909320229,13
50,0.22734389305114747,0.041961820103257365,0.012812352180480957,0.0026330318067979137,42,0.00039183591795897955,"{'random_state': 42, 'alpha': 0.00039183591795897955}",-0.11085978180378983,-0.09193417382158067,-0.10511326813624527,-0.11674180174616212,-0.13951991709509154,-0.0928141374859621,-0.11417043393987338,-0.09199044534546365,-0.09247092785988079,-0.12207940083626803,-0.10776942880703173,0.015193377206182924,14
92,0.21403985023498534,0.03150269088877512,0.013588356971740722,0.0013958827773454384,42,0.0003972836418209105,"{'random_state': 42, 'alpha': 0.0003972836418209105}",-0.11086844860076321,-0.09193899325509577,-0.1051669788770443,-0.11674711501357883,-0.13950351699078867,-0.09285110341983911,-0.11417182910587174,-0.09204027761485903,-0.0925397309476508,-0.12208322508458791,-0.10779112189100792,0.0151736866831933,15
80,0.2121499300003052,0.05863816506246016,0.013113903999328613,0.004705218594656376,42,0.00039975987993997003,"{'random_state': 42, 'alpha': 0.00039975987993997003}",-0.1108772394889446,-0.09194176181453469,-0.10518097996054276,-0.1167492396078144,-0.1394967927923638,-0.09286827226395668,-0.11416982413977128,-0.09206349438054405,-0.0925704178609503,-0.12208527700887035,-0.10780032993182928,0.015164979466501914,16
94,0.3084184885025024,0.10326000853118203,0.018347764015197755,0.009487228656907072,42,0.00024623311655827914,"{'random_state': 42, 'alpha': 0.00024623311655827914}",-0.11268825295719273,-0.09201354401683096,-0.10384159245539827,-0.11723978017375906,-0.14051229456066178,-0.09268400556569273,-0.11471888996870729,-0.09168285353235948,-0.09095101578973727,-0.12213286959913222,-0.10784650986194717,0.015727060721924126,17
85,0.3111309766769409,0.09004830391649872,0.014819097518920899,0.004909712376510341,42,0.0002442521260630315,"{'random_state': 42, 'alpha': 0.0002442521260630315}",-0.11271635944713872,-0.0920282965732938,-0.10384983380238805,-0.1172544142080861,-0.14052522972852705,-0.09268474771070702,-0.11475119149429336,-0.09171063411230825,-0.0909250818760191,-0.12214084915482197,-0.10785866381075834,0.015731794723927578,18
66,0.21204237937927245,0.0679828656104015,0.013920307159423828,0.003674459766485498,42,0.0004161030515257629,"{'random_state': 42, 'alpha': 0.0004161030515257629}",-0.11094403011903702,-0.09196381981347869,-0.10528233796511555,-0.11678650185270383,-0.1394434908704208,-0.0929293271498337,-0.11416325634878499,-0.09219925573249664,-0.09277218175074259,-0.12211040224233753,-0.10785946038449515,0.015115140167396294,19
51,0.246000075340271,0.09195386723217812,0.014722990989685058,0.004788535097844531,42,0.0004250175087543772,"{'random_state': 42, 'alpha': 0.0004250175087543772}",-0.11098522883024464,-0.09198469909563878,-0.1053577616976674,-0.11681887214387225,-0.13940112052278647,-0.09296277667816245,-0.11416359386260916,-0.0922734521304017,-0.09289547512821687,-0.12212907253461543,-0.1078972052624215,0.015084063545967228,20
17,0.27473433017730714,0.06590292045072049,0.013489937782287598,0.0017565569270674276,42,0.00023830915457728866,"{'random_state': 42, 'alpha': 0.00023830915457728866}",-0.11280442376669966,-0.09207692927890032,-0.1038761864101531,-0.11730964959876079,-0.14056520630888514,-0.09269170993897954,-0.11484483393174916,-0.09180431336199148,-0.09085038978733445,-0.12216479260731573,-0.10789884349907694,0.015744645631245262,21
77,0.32429163455963134,0.10221962050074983,0.01849851608276367,0.00646243801662049,42,0.00023731865932966485,"{'random_state': 42, 'alpha': 0.00023731865932966485}",-0.11281975453228606,-0.09208567231898879,-0.10388042182386684,-0.11731815750321833,-0.14057204483748156,-0.09269377205503128,-0.11485981493321772,-0.09182124829207722,-0.09083711034834854,-0.12216900803179775,-0.10790570046763141,0.015746616383270646,22
81,0.3081382751464844,0.08420192821723907,0.013396978378295898,0.004581055664529344,42,0.00022889944972486243,"{'random_state': 42, 'alpha': 0.00022889944972486243}",-0.11295146585453315,-0.09216285650428933,-0.1039226084846587,-0.11739467350934396,-0.14063612432993716,-0.0927207091501802,-0.11499918612752144,-0.09196064098395769,-0.09073210640602153,-0.12221155796541724,-0.10796919293158605,0.015764451029443776,23
11,0.21514358520507812,0.04783755731152102,0.015549707412719726,0.004263254965680054,42,0.0004512656328164082,"{'random_state': 42, 'alpha': 0.0004512656328164082}",-0.11101935661068832,-0.09208128488527992,-0.10558317041741311,-0.11693846516720004,-0.139260333583032,-0.09310202830601086,-0.11418923848561487,-0.09250338980140352,-0.09326539358004557,-0.1221564963523627,-0.10800991571890509,0.01497792668939746,24
46,0.19605352878570556,0.027439799546127207,0.01271977424621582,0.002198296655216464,42,0.00045522761380690347,"{'random_state': 42, 'alpha': 0.00045522761380690347}",-0.11101956663383673,-0.0921003281122281,-0.10561325898592229,-0.11695908000348572,-0.139236916268652,-0.09312660418925438,-0.11419903338096847,-0.09254069370617549,-0.09332413094877588,-0.12216221528614664,-0.10802818275154458,0.014960620088684979,25
31,0.1834944248199463,0.030769923840538806,0.012751340866088867,0.0018709314532568775,42,0.0004557228614307154,"{'random_state': 42, 'alpha': 0.0004557228614307154}",-0.11101964757507982,-0.0921027715142369,-0.10561704840493141,-0.11696171107494012,-0.13923401900461008,-0.09312952051539149,-0.11420046773850752,-0.09254542955480428,-0.0933315147318878,-0.12216294995816418,-0.10803050800725537,0.01495847526988932,26
84,0.21971542835235597,0.05159862661177925,0.016974449157714844,0.006378429072244551,42,0.0004710755377688845,"{'random_state': 42, 'alpha': 0.0004710755377688845}",-0.11102710855177525,-0.09218530648189578,-0.10573999866853667,-0.11704985014224102,-0.13914405262430135,-0.09323112151303486,-0.11423485329077405,-0.09269809241502637,-0.09356474967048142,-0.12218544248759125,-0.10810605758456582,0.014889122258641585,27
34,0.19285414218902588,0.05083971688781701,0.016983890533447267,0.008344591006477275,42,0.0004730565282641321,"{'random_state': 42, 'alpha': 0.0004730565282641321}",-0.11102692553041427,-0.09219696270886439,-0.1057570667468581,-0.11706214314483654,-0.13913302425360824,-0.09324487312246392,-0.11423760997914142,-0.09271935551857671,-0.09359526479197908,-0.12218815102012083,-0.10811613768168635,0.014879856996243666,28
19,0.18471412658691405,0.03150249734294792,0.013874554634094238,0.0017006103924420107,42,0.0004908854427213607,"{'random_state': 42, 'alpha': 0.0004908854427213607}",-0.11098544667247515,-0.09230918215572086,-0.1058850242523577,-0.11716927972462016,-0.13908128976680023,-0.09337316921777161,-0.1142643621471842,-0.09292943162624136,-0.09387917471304366,-0.12220850211630686,-0.10820848623925217,0.014801564309596494,29
67,0.31657888889312746,0.06588562857042633,0.01562483310699463,0.008739464461755124,42,0.00019720360180090044,"{'random_state': 42, 'alpha': 0.00019720360180090044}",-0.11349573963290015,-0.09253755027148161,-0.10418615665772878,-0.11780862345153428,-0.14068533253807952,-0.09292699914258314,-0.1156795933065447,-0.09244853000366482,-0.0903901259965489,-0.12243089772976377,-0.10825895487308297,0.015792667876542335,30
72,0.2161187171936035,0.05639323698135027,0.01771872043609619,0.016537126367340373,42,0.0005012856428214108,"{'random_state': 42, 'alpha': 0.0005012856428214108}",-0.11096701825546641,-0.09237916885150056,-0.10595067554293618,-0.11723361719219696,-0.1390563198965792,-0.093439728532207,-0.1142942494277849,-0.09307027069311669,-0.09404530442007075,-0.12224075012939911,-0.10826771029412578,0.01475838639218968,31
97,0.31309022903442385,0.09254564790039888,0.014181995391845703,0.005733250216515121,42,0.00019522261130565282,"{'random_state': 42, 'alpha': 0.00019522261130565282}",-0.11353173064976901,-0.09256481078216186,-0.10420781627140761,-0.11784621330959368,-0.14068225801377376,-0.09294002502658553,-0.11572661834353573,-0.09248418006478008,-0.09037188471091438,-0.12244722275304942,-0.10828027599255712,0.01579314714080302,32
58,0.2484849214553833,0.06150319456593452,0.0193497896194458,0.008750908689598342,42,0.0005057428714357179,"{'random_state': 42, 'alpha': 0.0005057428714357179}",-0.11095973388096136,-0.09241114802419251,-0.10596813324187632,-0.11725589469606079,-0.13904740874255772,-0.09347140782837667,-0.11431366810280905,-0.09312872153546568,-0.09412080122670691,-0.12225771107591775,-0.10829346283549249,0.01473996128648516,33
28,0.30810234546661375,0.06662224942309919,0.018785715103149414,0.015257558480947479,42,0.00018680340170085043,"{'random_state': 42, 'alpha': 0.00018680340170085043}",-0.11370734551176331,-0.09265792526011574,-0.10418192705811444,-0.11801096297040928,-0.14069814631743774,-0.09299624146622115,-0.11593639035827896,-0.0926421800043205,-0.09029912563472392,-0.12251909581849374,-0.10836493403998788,0.015807194275142444,34
86,0.32035002708435056,0.07692886012404469,0.015805387496948244,0.005128106610323397,42,0.00018630815407703853,"{'random_state': 42, 'alpha': 0.00018630815407703853}",-0.11371802680387981,-0.09266328907753735,-0.10417199907025855,-0.11802099257379597,-0.14069916124824214,-0.09299961521455495,-0.11594919495525902,-0.09265200785612442,-0.09029554986325712,-0.12252414107758557,-0.10836939777404948,0.015808274259379734,35
4,0.20981993675231933,0.03612978645986577,0.014868855476379395,0.002595893109667712,42,0.0005270385192596298,"{'random_state': 42, 'alpha': 0.0005270385192596298}",-0.11092850986011848,-0.09251430198040161,-0.10605387984706222,-0.11735981379226881,-0.13901320850041046,-0.09362142965962378,-0.1144484628220095,-0.0933587047070733,-0.0944767153936772,-0.1223274301174251,-0.10841024566800705,0.014665471568985898,36
1,0.3026044130325317,0.08411959543219641,0.015298557281494141,0.006819348622442828,42,0.0001759079539769885,"{'random_state': 42, 'alpha': 0.0001759079539769885}",-0.11394968549895798,-0.09278535518421292,-0.1039800940916476,-0.11823002702474537,-0.140724181008253,-0.09307380934076184,-0.11632500777851044,-0.09286455222261952,-0.09017306035881971,-0.1226233741121069,-0.10847291466206352,0.015840310475662964,37
26,0.30105886459350584,0.07225472420325292,0.0121246337890625,0.002117652537583773,42,0.00017046023011505753,"{'random_state': 42, 'alpha': 0.00017046023011505753}",-0.1140778879341216,-0.09282245587404997,-0.10391672613027242,-0.11835235570013031,-0.14073941091197847,-0.09311128977288385,-0.11653675433057166,-0.0929796225520189,-0.09006794420663287,-0.12267558247199097,-0.1085280029884651,0.01586605517465902,38
12,0.18293435573577882,0.023440262509340115,0.01507265567779541,0.004234504139730471,42,0.000583991995997999,"{'random_state': 42, 'alpha': 0.000583991995997999}",-0.1107960212035834,-0.09270286590766114,-0.10627405720227456,-0.11759657061330066,-0.1388433809016084,-0.09402561302010738,-0.11476690026973178,-0.09392834935635076,-0.09501626425813284,-0.12253872807124229,-0.1086488750803993,0.014501843466037029,39
20,0.18409812450408936,0.04146967512943078,0.012018680572509766,0.0016204511080571639,42,0.0005914207103551776,"{'random_state': 42, 'alpha': 0.0005914207103551776}",-0.11076305727955005,-0.09273469251759325,-0.10630594710722475,-0.11762744475694842,-0.13881831254289023,-0.09406706253241535,-0.11480609370467555,-0.09400278804121846,-0.09508075819770671,-0.12255869669948395,-0.10867648533797067,0.014479805691464497,40
70,0.24192430973052978,0.08520150528537636,0.018601107597351074,0.007470817514161879,42,0.0005929064532266134,"{'random_state': 42, 'alpha': 0.0005929064532266134}",-0.1107566848654095,-0.0927411731694656,-0.10631271529852984,-0.11763373782996037,-0.1388134211877408,-0.09407548833477672,-0.11481437769143851,-0.0940183853161939,-0.09509382658431866,-0.12256264677873524,-0.10868224570565692,0.014475332763831936,41
16,0.16361279487609864,0.01712720719464351,0.01657121181488037,0.009653939301033615,42,0.0006176688344172087,"{'random_state': 42, 'alpha': 0.0006176688344172087}",-0.11066183119863857,-0.09286821976445138,-0.10642990754216881,-0.11775899497448776,-0.13876556430152256,-0.0942354707311255,-0.11493128753668305,-0.09424721478564589,-0.09531399654750441,-0.12262897256246572,-0.10878414599446937,0.014407345435374414,42
9,0.1598757028579712,0.017979215076256667,0.014098095893859863,0.002661577241077101,42,0.0006186593296648325,"{'random_state': 42, 'alpha': 0.0006186593296648325}",-0.11065846082013268,-0.09287396824666233,-0.10643474567098415,-0.11776477712515795,-0.13876514182739164,-0.09424219956860866,-0.1149351286736626,-0.09425615242755907,-0.09532079164130623,-0.12263341960975911,-0.10878847856112243,0.014405234582619223,43
83,0.18258628845214844,0.04672949428252541,0.017085552215576172,0.0074939768144138405,42,0.0006221260630315157,"{'random_state': 42, 'alpha': 0.0006221260630315157}",-0.11064934911103769,-0.09289428093692147,-0.10645184989204913,-0.11778519971243909,-0.13876371288412448,-0.0942659580738644,-0.1149490567756159,-0.09428765569071083,-0.09534469013685569,-0.12264915606564641,-0.1088040909279265,0.014397865935029843,44
89,0.34556396007537843,0.06523189511871504,0.016959738731384278,0.005586898910312825,42,0.0001452026013006503,"{'random_state': 42, 'alpha': 0.0001452026013006503}",-0.11479061298323494,-0.09297840232281225,-0.10366852108263544,-0.11897305087647832,-0.14085902506269607,-0.09347231339155221,-0.11762516484358727,-0.09363035418349322,-0.08970068958722953,-0.1230906999685607,-0.108878883430228,0.015986556002841018,45
73,0.18051393032073976,0.045616593226563945,0.013329720497131348,0.003871316316144253,42,0.0006835367683841921,"{'random_state': 42, 'alpha': 0.0006835367683841921}",-0.1106329133570273,-0.0932576491583525,-0.10673335514453239,-0.11822368813091394,-0.13877478670698265,-0.09467943557604164,-0.11522446179767301,-0.09489054168776152,-0.09575697474628057,-0.12301226196170764,-0.10911860682672732,0.014288876346492414,46
78,0.18074514865875244,0.027913772490639963,0.013776445388793945,0.0029480337531420683,42,0.0006855177588794397,"{'random_state': 42, 'alpha': 0.0006855177588794397}",-0.11063544565920984,-0.09327274564185381,-0.10673921790751048,-0.11823905027786927,-0.13877427046924778,-0.09469498864404147,-0.11523542702358174,-0.09491085552960585,-0.09577037687577432,-0.12302544909906656,-0.10912978271277611,0.014284905273452279,47
68,0.18422024250030516,0.04992988558701635,0.014250397682189941,0.004964325463951208,42,0.0006934417208604302,"{'random_state': 42, 'alpha': 0.0006934417208604302}",-0.11064736858451721,-0.0933341640866349,-0.10676373056928506,-0.1182991149622637,-0.13877270627371777,-0.09475781139932976,-0.1152815869452643,-0.09499286334130684,-0.095824030341,-0.12307887332037792,-0.10917522498236973,0.014268961691629525,48
25,0.15171432495117188,0.023296129886399453,0.012333989143371582,0.0018120253715966435,42,0.0006954227113556778,"{'random_state': 42, 'alpha': 0.0006954227113556778}",-0.11064853078787709,-0.09334961951257294,-0.10676974904113655,-0.11831387892411878,-0.13877243664580197,-0.09477246994179732,-0.11529194536381797,-0.0950135512347233,-0.09583746759987656,-0.12309238505261326,-0.10918620341043357,0.014265010349024115,49
