,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
65,6.721708059310913,0.3062093118477998,0.2609761953353882,0.08733489719222251,42,171,2,1,100,"{'random_state': 42, 'n_estimators': 171, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 100}",-0.14141194228954987,-0.126676791157711,-0.14411557028716862,-0.1439156515059779,-0.1688093927868043,-0.11244934835129063,-0.1422236841548285,-0.12748958153271436,-0.13414200289697487,-0.14212719884689962,-0.13833611638099197,0.014047784874728006,1
13,5.721487498283386,0.35383650761975605,0.30682783126831054,0.07101411770082905,42,127,2,1,91,"{'random_state': 42, 'n_estimators': 127, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 91}",-0.1435498742412465,-0.12648615477050912,-0.14346040107798344,-0.1426669529626685,-0.1685555547157549,-0.11255815998603375,-0.1421491136321281,-0.1274159513385695,-0.13437648484900752,-0.1423775245499468,-0.13835961721238482,0.013986178466881275,2
46,6.041706252098083,0.6047380979031001,0.29272258281707764,0.09588819043523204,42,113,2,1,58,"{'random_state': 42, 'n_estimators': 113, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 58}",-0.14330188712856626,-0.12723624224254154,-0.14355115576628852,-0.14193695363446276,-0.16888623865774613,-0.11305802395835501,-0.14303533966910717,-0.12755514137016383,-0.13431335971531397,-0.14181181892245912,-0.13846861610650044,0.013880635131888504,3
93,4.081857633590698,0.25142511690842295,0.2439591884613037,0.06421658936186009,42,127,3,2,70,"{'random_state': 42, 'n_estimators': 127, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 70}",-0.14309084811139308,-0.12799542184949328,-0.1438241023338554,-0.1448025564715236,-0.1671455653377843,-0.11322838826292445,-0.1425233423518141,-0.12562927529372492,-0.13441345576802724,-0.14203724562353667,-0.13846902014040768,0.013673910547241317,4
98,4.037086772918701,0.29245601097741614,0.18877294063568115,0.10456367301599895,42,127,3,2,80,"{'random_state': 42, 'n_estimators': 127, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 80}",-0.14309084811139308,-0.12799542184949336,-0.1438241023338555,-0.1448025564715237,-0.16714556533778432,-0.11322838826292433,-0.14252334235181421,-0.125629275293725,-0.13441345576802716,-0.14203724562353676,-0.13846902014040777,0.013673910547241347,5
6,3.6411556005477905,0.4353158441769017,0.22679297924041747,0.10951509293093198,42,98,2,2,90,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 90}",-0.1428746318975375,-0.12777654795935697,-0.14461735637127582,-0.14501638142996584,-0.1667244165627233,-0.1137337189833962,-0.1433610761495034,-0.12520781429460942,-0.13475382490707893,-0.1410059506896837,-0.13850717192451312,0.01358170399471006,6
71,3.122180461883545,0.21362455136985917,0.24263577461242675,0.08904594543230036,42,98,2,2,49,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 49}",-0.14287463189753782,-0.1277765479593568,-0.14461735637127568,-0.14501638142996592,-0.1667244165627234,-0.11373371898339601,-0.14336107614950336,-0.12520781429460934,-0.134753824907079,-0.14100595068968386,-0.13850717192451312,0.013581703994710145,6
80,3.104510283470154,0.3236163077630378,0.19965589046478271,0.0731017414218147,42,98,2,2,59,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 59}",-0.142874631897538,-0.1277765479593567,-0.14461735637127576,-0.1450163814299659,-0.16672441656272316,-0.11373371898339613,-0.1433610761495035,-0.12520781429460942,-0.13475382490707913,-0.14100595068968377,-0.13850717192451317,0.01358170399471008,8
81,2.62709436416626,0.08475061416780723,0.19417378902435303,0.0748105055728225,42,84,3,2,60,"{'random_state': 42, 'n_estimators': 84, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 60}",-0.14226971601423,-0.1276982149402408,-0.14485658306381724,-0.14431971295007354,-0.1681530873023565,-0.11352716262828587,-0.14348853533870107,-0.12566859374952902,-0.13423182892143512,-0.14112418087445205,-0.13853376157831213,0.013866273478101574,9
2,2.5967233657836912,0.18201093478368824,0.1940991163253784,0.06591511871230826,42,84,2,2,75,"{'random_state': 42, 'n_estimators': 84, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 75}",-0.1422697160142301,-0.12769821494024097,-0.1448565830638175,-0.14431971295007343,-0.16815308730235645,-0.11352716262828609,-0.14348853533870107,-0.12566859374952896,-0.1342318289214351,-0.14112418087445186,-0.13853376157831215,0.01386627347810152,10
52,5.989559650421143,0.3883323421986249,0.21683697700500487,0.0811301251389795,42,171,3,2,85,"{'random_state': 42, 'n_estimators': 171, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 85}",-0.1421379759189151,-0.12781225580275812,-0.14479385732970318,-0.14577198357517462,-0.16775053363875503,-0.11289503786033024,-0.14231713965847198,-0.12551122231969367,-0.13421626614060228,-0.14215601937938716,-0.13853622916237912,0.013950439287354554,11
69,5.610423445701599,0.3586325879256354,0.29973766803741453,0.09834217137705956,42,171,4,2,97,"{'random_state': 42, 'n_estimators': 171, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 97}",-0.1421379759189151,-0.1278122558027582,-0.1447938573297032,-0.1457719835751746,-0.16775053363875497,-0.11289503786033003,-0.1423171396584721,-0.12551122231969394,-0.13421626614060214,-0.14215601937938713,-0.13853622916237915,0.013950439287354555,12
79,5.504591798782348,0.3165054348849152,0.2482346773147583,0.07832935161512566,42,171,3,2,52,"{'random_state': 42, 'n_estimators': 171, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 52}",-0.1421379759189151,-0.12781225580275815,-0.14479385732970337,-0.14577198357517485,-0.167750533638755,-0.11289503786033014,-0.142317139658472,-0.1255112223196938,-0.13421626614060217,-0.14215601937938727,-0.1385362291623792,0.013950439287354578,13
22,3.898148536682129,0.19998848858896479,0.21739890575408935,0.06633848364995552,42,84,2,1,47,"{'random_state': 42, 'n_estimators': 84, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 47}",-0.14316219112767264,-0.12707051971180472,-0.1438039308283228,-0.14139874356141266,-0.1697811022249783,-0.11378503917254337,-0.14347735773431802,-0.12748190683980454,-0.13420438692841227,-0.14126319588540187,-0.1385428374014671,0.013965964868143879,14
96,4.474318242073059,0.3187062685196468,0.26972982883453367,0.10016724640084523,42,142,4,2,80,"{'random_state': 42, 'n_estimators': 142, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 80}",-0.14312530780802063,-0.12779430944569675,-0.14377165561931343,-0.14535007933188268,-0.16724943607644638,-0.11338759993667204,-0.14244446249375337,-0.12557635065540354,-0.1349696087075316,-0.14213862640574307,-0.13858074364804635,0.013697078156372238,15
74,5.972016525268555,0.3854305902003795,0.2236647129058838,0.07569607429053628,42,185,4,2,45,"{'random_state': 42, 'n_estimators': 185, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 45}",-0.14197747694482943,-0.1277722960256065,-0.14480864160520507,-0.14558607287878533,-0.16813896066408504,-0.11265320312453055,-0.14287397598662302,-0.12543830142795903,-0.13423767463104255,-0.14233143013775193,-0.13858180334264186,0.014093377012910878,16
67,5.001126456260681,0.36281158968692423,0.2615541696548462,0.07117175069124164,42,156,3,2,63,"{'random_state': 42, 'n_estimators': 156, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 63}",-0.14320502337545205,-0.12783820328203466,-0.14424574684662775,-0.1457612220026191,-0.16720852688149185,-0.1125459831282087,-0.14195827556114518,-0.12590386143337642,-0.13442869215769918,-0.1428244188952225,-0.13859199535638772,0.013874993711785067,17
24,5.729542803764343,0.6440940756683001,0.3214574813842773,0.07935921791369087,42,156,4,2,67,"{'random_state': 42, 'n_estimators': 156, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 67}",-0.14320502337545205,-0.12783820328203474,-0.1442457468466278,-0.1457612220026193,-0.16720852688149185,-0.1125459831282088,-0.14195827556114507,-0.12590386143337606,-0.1344286921576993,-0.14282441889522232,-0.13859199535638772,0.013874993711785074,17
66,4.979330825805664,0.22333735351117756,0.26878795623779295,0.06687052985966276,42,156,2,2,71,"{'random_state': 42, 'n_estimators': 156, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 71}",-0.14320502337545207,-0.1278382032820348,-0.14424574684662786,-0.1457612220026191,-0.16720852688149185,-0.11254598312820878,-0.1419582755611452,-0.12590386143337626,-0.13442869215769915,-0.14282441889522257,-0.13859199535638775,0.013874993711785064,19
26,4.234914112091064,0.31711211360723035,0.30368010997772216,0.0817555290761717,42,113,4,2,41,"{'random_state': 42, 'n_estimators': 113, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 41}",-0.14277935459615965,-0.1282704233919764,-0.1442181704397858,-0.14413667880133307,-0.1676469029632186,-0.11390677318879017,-0.14335138678192652,-0.1256513516328321,-0.1346293041656612,-0.14147547387920234,-0.1386065819840886,0.013616685882355017,20
70,3.7862470865249636,0.2791746312670596,0.21571381092071534,0.08206708219748664,42,98,2,1,62,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 62}",-0.14340648681556664,-0.12724125851124451,-0.14430757760224336,-0.14272972716773313,-0.16817926154783408,-0.11404510279068501,-0.14290586874095065,-0.12715241920285258,-0.13482817641576395,-0.14153662512523668,-0.13863325039201105,0.013609030380853484,21
28,4.167890548706055,0.34270789544789443,0.28457543849945066,0.08186201444222224,42,127,5,2,71,"{'random_state': 42, 'n_estimators': 127, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 71}",-0.1432215000729309,-0.1280389852024912,-0.14389268716896889,-0.14465291937155916,-0.1677671758460287,-0.11378702525643078,-0.1425957401173918,-0.1255676497336597,-0.13447757196926402,-0.14240767186464215,-0.13864089266033672,0.013715814513449918,22
1,2.960633373260498,0.16394414368122626,0.21067283153533936,0.05267447474557835,42,98,5,2,45,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 45}",-0.1431898603925355,-0.12782016961726178,-0.14482794792329828,-0.14468604761498044,-0.16737044366339185,-0.1144179470027272,-0.143348060619821,-0.12501037901890458,-0.13474659548116055,-0.14106557523205687,-0.13864830265661382,0.013615194902628903,23
56,2.8693177461624146,0.14730222238807497,0.2143833875656128,0.05355494133689418,42,98,5,2,50,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 50}",-0.14318986039253528,-0.1278201696172619,-0.14482794792329823,-0.14468604761498044,-0.16737044366339193,-0.11441794700272719,-0.1433480606198213,-0.12501037901890455,-0.13474659548116047,-0.1410655752320572,-0.13864830265661382,0.013615194902628924,23
51,6.895292854309082,0.2304784336354217,0.24475927352905275,0.09595282421335907,42,200,4,2,54,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 54}",-0.14227878619047943,-0.12779527248976352,-0.14491019323687285,-0.14600020860881527,-0.16786985862324952,-0.1131513091651712,-0.14295140421100316,-0.1259058641082367,-0.1340622895020688,-0.1421468785531841,-0.13870720646888446,0.01393682085695497,25
38,6.684606218338013,0.4955625924534204,0.31303551197052004,0.1061494066822207,42,200,3,2,48,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 48}",-0.14227878619047954,-0.12779527248976352,-0.14491019323687282,-0.1460002086088151,-0.1678698586232495,-0.11315130916517116,-0.14295140421100314,-0.12590586410823681,-0.13406228950206903,-0.14214687855318428,-0.13870720646888451,0.01393682085695495,26
23,7.809775757789612,0.5367182050251205,0.28067622184753416,0.10210187300458491,42,200,3,2,90,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 90}",-0.14227878619047943,-0.1277952724897635,-0.144910193236873,-0.14600020860881538,-0.16786985862324946,-0.11315130916517115,-0.14295140421100314,-0.12590586410823698,-0.13406228950206883,-0.14214687855318406,-0.13870720646888451,0.013936820856954954,26
82,4.332976555824279,0.31196693179769236,0.2436415433883667,0.07164909129788471,42,127,3,1,55,"{'random_state': 42, 'n_estimators': 127, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 55}",-0.1439366884662945,-0.1281853394443221,-0.1438211150525578,-0.14428080692970977,-0.16888572765235638,-0.11300269885834305,-0.14197699063276314,-0.12724243406764052,-0.13408239359485646,-0.14197789459321492,-0.13873920892920588,0.013931789731068133,28
17,5.40762300491333,0.27022613731187717,0.25596866607666013,0.0974125773499433,42,171,5,2,71,"{'random_state': 42, 'n_estimators': 171, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 71}",-0.14223646679636023,-0.1279534969937848,-0.14505226828907647,-0.14559228259502915,-0.168143758999626,-0.11362720174319223,-0.1423806226290353,-0.12549961518137054,-0.1344330773016021,-0.14251470801321084,-0.13874334985422873,0.013899517722726752,29
60,5.321257066726685,0.23010025856866603,0.2181018352508545,0.10544394090355683,42,171,5,2,82,"{'random_state': 42, 'n_estimators': 171, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 82}",-0.1422364667963602,-0.1279534969937849,-0.1450522682890764,-0.1455922825950293,-0.16814375899962605,-0.11362720174319241,-0.14238062262903536,-0.12549961518137082,-0.13443307730160214,-0.14251470801321087,-0.13874334985422884,0.013899517722726702,30
88,3.0677170038223265,0.39504489708027823,0.24269747734069824,0.110040992491969,42,84,3,1,59,"{'random_state': 42, 'n_estimators': 84, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 59}",-0.14360586007157286,-0.12857123241497947,-0.14407103110861985,-0.1434548339235931,-0.1693227677900227,-0.11409147835212965,-0.14216918441773588,-0.1281953747886738,-0.1337747813969052,-0.14036266831777747,-0.138761921258201,0.013677775238009345,31
36,3.3373462915420533,0.47084800461042214,0.21445672512054442,0.09422728901744691,42,84,3,1,95,"{'random_state': 42, 'n_estimators': 84, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 95}",-0.14360586007157286,-0.12857123241497967,-0.14407103110862,-0.14345483392359287,-0.16932276779002262,-0.11409147835212967,-0.14216918441773585,-0.12819537478867385,-0.13377478139690527,-0.14036266831777755,-0.13876192125820103,0.013677775238009301,32
90,4.234385085105896,0.2465308194742969,0.22517189979553223,0.05135949215934344,42,127,4,1,42,"{'random_state': 42, 'n_estimators': 127, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 42}",-0.14594852498345878,-0.12812685374814095,-0.14326876985409312,-0.14358239160051664,-0.16825785158532142,-0.11258056258682352,-0.1421092916844304,-0.12709389420034287,-0.13438995584901114,-0.1424446485025865,-0.13878027445947252,0.013942004653799057,33
37,4.712381815910339,0.3760217205671048,0.28575336933135986,0.04968220862756392,42,127,4,1,81,"{'random_state': 42, 'n_estimators': 127, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 81}",-0.14594852498345876,-0.1281268537481414,-0.14326876985409304,-0.14358239160051664,-0.16825785158532153,-0.1125805625868235,-0.1421092916844306,-0.12709389420034287,-0.1343899558490112,-0.1424446485025865,-0.1387802744594726,0.013942004653799047,34
30,4.617030477523803,0.4285690677717117,0.29240965843200684,0.07861710584136417,42,113,3,1,66,"{'random_state': 42, 'n_estimators': 113, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 66}",-0.14363130794469106,-0.1289537574287333,-0.14382119107605298,-0.14356050395085915,-0.16903721482155132,-0.11333114441831674,-0.14274594287282907,-0.12727953575408543,-0.13401904006460164,-0.14145029477704496,-0.13878299331087654,0.013817694675139243,35
35,4.6286849021911625,0.5654243192641242,0.2585162162780762,0.0658217584491562,42,113,3,1,89,"{'random_state': 42, 'n_estimators': 113, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 89}",-0.14363130794469092,-0.1289537574287333,-0.14382119107605298,-0.14356050395085923,-0.16903721482155135,-0.11333114441831674,-0.14274594287282905,-0.1272795357540855,-0.1340190400646019,-0.14145029477704488,-0.13878299331087657,0.013817694675139231,36
59,6.0125937223434445,0.39825902906420113,0.24665226936340331,0.04192529123397295,42,171,3,1,43,"{'random_state': 42, 'n_estimators': 171, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 43}",-0.14212809659229692,-0.12800196167795008,-0.1445388792734923,-0.1454119131692823,-0.16933601477208376,-0.11322437279767698,-0.14216236187457829,-0.12702316233760555,-0.13403971772346518,-0.14203943655086612,-0.13879059167692973,0.014050052059031834,37
15,4.04699981212616,0.25954626285115806,0.1787355661392212,0.08071334751562093,42,127,7,2,54,"{'random_state': 42, 'n_estimators': 127, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 54}",-0.14376781343936962,-0.1286316579922879,-0.14391440009217407,-0.14499030231077445,-0.16816972758905996,-0.11358109620826329,-0.14293705396834863,-0.12609216947945692,-0.13395922953123834,-0.1420459296168314,-0.13880893802278046,0.013797455485234504,38
0,4.622886276245117,0.45667085741799984,0.14885008335113525,0.06479907838473878,42,156,5,2,55,"{'random_state': 42, 'n_estimators': 156, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 55}",-0.14317040552716293,-0.1280973901932216,-0.14441380204474905,-0.14578017164362186,-0.16773853918094803,-0.11332017210361871,-0.1421763389629073,-0.12572111098105088,-0.13465284279802547,-0.1430204232749842,-0.138809119671029,0.01384922960612931,39
32,7.438118863105774,0.6869265549944875,0.3607621431350708,0.08925357394329786,42,200,5,2,85,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 85}",-0.1424246542286209,-0.12816766076267244,-0.14484671905343133,-0.1457579151700118,-0.16776635121079467,-0.11376391579922959,-0.14297212328262407,-0.12577040851525031,-0.13430366843197364,-0.14243364606786188,-0.13882070625224704,0.01377536978126623,40
25,6.221883511543274,0.34225870101803346,0.31441686153411863,0.11116145114235845,42,185,7,2,100,"{'random_state': 42, 'n_estimators': 185, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 100}",-0.14223482566681578,-0.128460350409046,-0.14484837495173894,-0.1456641544071894,-0.1686775658152856,-0.11330092279036279,-0.1430260667160516,-0.1257105205292582,-0.13406000801027787,-0.14249410720339747,-0.13884768964994237,0.014037674435841042,41
18,5.914613890647888,0.3952765715106763,0.3001744508743286,0.06126248165894265,42,185,7,2,56,"{'random_state': 42, 'n_estimators': 185, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 56}",-0.14223482566681572,-0.12846035040904616,-0.14484837495173875,-0.14566415440718952,-0.16867756581528554,-0.11330092279036294,-0.14302606671605178,-0.12571052052925805,-0.1340600080102778,-0.14249410720339742,-0.13884768964994237,0.014037674435841009,41
5,3.10849392414093,0.28334655820971133,0.20566837787628173,0.10356205127780346,42,84,5,1,82,"{'random_state': 42, 'n_estimators': 84, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 82}",-0.1443422648865678,-0.12833258746530168,-0.1437566623592964,-0.1430350863549224,-0.17067410592257884,-0.11394809672885342,-0.14189258399142105,-0.1273898660976918,-0.13410155955713582,-0.14129558445924983,-0.1388768397823019,0.014086742278695615,43
44,4.008207559585571,0.4316603482341718,0.2518334865570068,0.12534196724065796,42,98,7,2,87,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 87}",-0.14366012084853846,-0.12896174501966406,-0.1449637570988154,-0.1451342902852676,-0.16809067157084265,-0.11438309897801853,-0.14367528810583685,-0.1255650210839944,-0.13428169264165185,-0.14077034906451114,-0.1389486034697141,0.013695493109889783,44
47,3.9901681661605837,0.5545498702280065,0.23104345798492432,0.09779313764129942,42,98,7,2,60,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 60}",-0.1436601208485384,-0.12896174501966423,-0.14496375709881557,-0.14513429028526753,-0.16809067157084265,-0.11438309897801865,-0.14367528810583696,-0.12556502108399434,-0.13428169264165185,-0.14077034906451089,-0.1389486034697141,0.013695493109889757,44
63,2.795130491256714,0.1678579502009468,0.1954111337661743,0.09774698782436791,42,98,7,2,54,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 54}",-0.1436601208485385,-0.1289617450196641,-0.1449637570988153,-0.14513429028526742,-0.16809067157084273,-0.11438309897801857,-0.14367528810583693,-0.12556502108399428,-0.13428169264165182,-0.1407703490645112,-0.1389486034697141,0.013695493109889793,44
10,3.972253441810608,0.33777731083518064,0.295243239402771,0.08043411678005598,42,113,4,1,76,"{'random_state': 42, 'n_estimators': 113, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 76}",-0.1457520320367919,-0.1286896356564994,-0.14368168532909795,-0.14319883101544462,-0.16830720928968013,-0.11306271882415912,-0.1432728176893186,-0.12727521811895237,-0.1343165364142173,-0.14197449815292015,-0.13895311825270815,0.013818773291017439,47
75,3.7493576288223265,0.2941694675058107,0.22760119438171386,0.054181469958420575,42,113,4,1,42,"{'random_state': 42, 'n_estimators': 113, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 42}",-0.14575203203679207,-0.1286896356564996,-0.1436816853290979,-0.1431988310154446,-0.16830720928968013,-0.11306271882415914,-0.1432728176893184,-0.12727521811895237,-0.13431653641421737,-0.14197449815292007,-0.13895311825270817,0.013818773291017416,48
40,3.7683531045913696,0.25280347660286456,0.26902868747711184,0.04936459503832256,42,113,4,1,58,"{'random_state': 42, 'n_estimators': 113, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 58}",-0.14575203203679216,-0.12868963565649957,-0.14368168532909784,-0.14319883101544456,-0.1683072092896802,-0.11306271882415907,-0.1432728176893186,-0.12727521811895245,-0.13431653641421729,-0.14197449815292007,-0.1389531182527082,0.013818773291017453,49
